Frame,"Bounding Box (x, y, w, h)","Center of Mass (x, y)"
0,"(296, 120, 24, 64)","(309, 155)"
1,"(296, 96, 24, 88)","(308, 142)"
2,"(296, 57, 24, 127)","(310, 127)"
3,"(296, 56, 24, 128)","(309, 122)"
4,"(288, 56, 32, 128)","(306, 125)"
5,"(288, 48, 32, 144)","(304, 124)"
6,"(288, 48, 32, 144)","(300, 117)"
7,"(280, 48, 32, 144)","(295, 122)"
8,"(264, 48, 48, 144)","(291, 120)"
9,"(256, 49, 56, 143)","(286, 124)"
10,"(248, 48, 64, 144)","(283, 122)"
11,"(240, 48, 64, 144)","(277, 125)"
12,"(237, 52, 67, 148)","(272, 128)"
13,"(237, 48, 67, 152)","(268, 127)"
14,"(232, 48, 64, 144)","(264, 127)"
15,"(232, 48, 56, 152)","(259, 124)"
16,"(237, 48, 35, 144)","(253, 120)"
17,"(232, 48, 32, 144)","(248, 119)"
18,"(224, 48, 40, 144)","(243, 121)"
19,"(216, 48, 40, 152)","(238, 125)"
20,"(200, 48, 56, 152)","(232, 127)"
21,"(184, 48, 72, 150)","(227, 127)"
22,"(184, 48, 72, 147)","(222, 129)"
23,"(176, 48, 80, 144)","(218, 131)"
24,"(176, 48, 80, 144)","(211, 128)"
25,"(176, 48, 72, 152)","(205, 131)"
26,"(176, 48, 56, 144)","(199, 127)"
27,"(176, 48, 32, 144)","(193, 118)"
28,"(176, 88, 24, 72)","(189, 123)"
29,"(168, 48, 32, 144)","(185, 118)"
30,"(160, 48, 40, 152)","(179, 121)"
31,"(152, 48, 40, 144)","(173, 126)"
32,"(136, 48, 56, 144)","(168, 126)"
33,"(128, 48, 64, 144)","(164, 126)"
34,"(120, 48, 72, 144)","(159, 129)"
35,"(113, 48, 79, 152)","(154, 132)"
36,"(112, 48, 78, 152)","(148, 131)"
37,"(112, 48, 72, 152)","(142, 132)"
38,"(112, 48, 64, 152)","(136, 130)"
39,"(112, 48, 48, 152)","(130, 125)"
40,"(112, 48, 40, 152)","(126, 122)"
41,"(112, 88, 24, 48)","(121, 110)"
42,"(96, 48, 40, 152)","(115, 123)"
43,"(88, 48, 48, 152)","(111, 129)"
44,"(80, 48, 55, 152)","(106, 125)"
45,"(72, 48, 64, 152)","(101, 127)"
46,"(64, 48, 69, 152)","(96, 129)"
47,"(56, 48, 80, 152)","(92, 129)"
48,"(56, 56, 72, 144)","(87, 132)"
49,"(56, 48, 72, 145)","(82, 128)"
50,"(48, 48, 64, 144)","(76, 127)"
51,"(48, 48, 56, 144)","(70, 125)"
52,"(48, 48, 48, 144)","(67, 124)"
53,"(48, 48, 32, 144)","(62, 119)"
54,"(40, 48, 32, 144)","(57, 123)"
55,"(32, 48, 40, 144)","(52, 127)"
56,"(24, 48, 48, 144)","(47, 128)"
57,"(16, 56, 56, 136)","(43, 130)"
58,"(8, 56, 64, 136)","(40, 130)"
59,"(8, 56, 64, 136)","(35, 131)"
60,"(8, 56, 64, 136)","(31, 129)"
61,"(3, 56, 61, 136)","(26, 131)"
62,"(0, 56, 56, 136)","(21, 130)"
63,"(0, 56, 48, 136)","(16, 132)"
64,"(0, 56, 33, 136)","(12, 126)"
65,"(0, 56, 24, 128)","(8, 121)"
66,"(0, 56, 24, 136)","(7, 123)"
